caption,time,sharedPost/pageName/name,shares,engagements,cleaned_text,topic,topic_name
"15 September 2024 | 𝗙𝗶𝗻𝗮𝗹 𝗕𝗿𝗶𝗲𝗳𝗶𝗻𝗴 𝗳𝗼𝗿 𝗪𝗮𝘁𝗲𝗿 𝗦𝗲𝗮𝗿𝗰𝗵 𝗮𝗻𝗱 𝗥𝗲𝘀𝗰𝘂𝗲: Retrieval operation for the missing fisherman from Barangay Punta Silum, together with MDRRM Manticao, PCG Lugait, PCG Iligan, and the local fisherfolks of Punta Silum.

#RESCUE811
#ICDRRMOPROACTIVE",2024-09-15T11:07:17.000Z,,3,14,september Final Briefing Water Search Rescue retrieval operation missing fisherman barangay punta silum together mdrrm manticao pcg lugait pcg local fisherfolks punta silum HASHTAG_rescue HASHTAG_icdrrmoproactive,2,Thunderstorm Safety Advisory
"𝐈𝐂𝐃𝐑𝐑𝐌𝐎 𝐖𝐄𝐀𝐓𝐇𝐄𝐑 𝐔𝐏𝐃𝐀𝐓𝐄 #MIN_PRSD
ISSUED AT: 5:00 AM 23 February 2025
VALID UNTIL: 5:00 AM Tomorrow

𝐒𝐘𝐍𝐎𝐏𝐒𝐈𝐒: Easterlies affecting Mindanao

𝐅𝐎𝐑𝐄𝐂𝐀𝐒𝐓:
Caraga, Davao Region, Zamboanga Peninsula, Sarangani, Basilan, Sulu,and Tawi-Tawi will have a cloudy skies with scattered rains and thunderstorms due to Easterlies. Possible flash floods or landslides due to moderate to at times heavy rains. The rest of Mindanao partly cloudy to cloudy skies with isolated rainshowers or thunderstorms due to Easterlies. Light to moderate winds from Northeast with slight to moderate seas (0.6 to 2.5 meters).

Source: MINDANAO PRSD",2025-02-22T21:59:44.000Z,,0,3,ICDRRMO WEATHER UPDATE HASHTAG_min_prsd issued february valid tomorrow SYNOPSIS easterlies affecting mindanao FORECAST caraga davao region zamboanga peninsula sarangani basilan suluand tawitawi cloudy skies scattered rains thunderstorms due easterlies possible flash floods landslides due moderate times heavy rains rest mindanao partly cloudy cloudy skies isolated rainshowers thunderstorms due easterlies light moderate winds northeast slight moderate seas meters source mindanao prsd,9,Weather Advisory
"As of 10:00 AM today, No Low Pressure Areas are being monitored for tropical cyclone formation.

All are advised to monitor updates from DOST-PAGASA.",2024-11-21T02:38:15.000Z,,1,10,today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
𝐅𝐞𝐛𝐫𝐮𝐚𝐫𝐲 𝟐𝟑,𝟐𝟎𝟐𝟓 | 𝐒𝐮𝐧𝐝𝐚𝐲
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459 / 225-3215
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#opsandwarning
#AsensoIliganon",2025-02-23T23:41:38.000Z,,0,6,Operations Warning Responses February Sunday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_opsandwarning HASHTAG_asensoiliganon,8,Emergency Hotlines
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
OCTOBER 23, 2024   |   WEDNESDAY
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459 / 225-3215
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#AsensoIliganon
#ecitizenph",2024-10-24T01:33:01.000Z,,1,11,Operations Warning Responses october wednesday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_asensoiliganon HASHTAG_ecitizenph,8,Emergency Hotlines
"Thunderstorm Advisory No. 5  #MINPRSD
Issued at 08:10 PM 10 November 2024

𝗟𝗶𝗴𝗵𝘁 𝘁𝗼 𝗠𝗼𝗱𝗲𝗿𝗮𝘁𝗲 𝗿𝗮𝗶𝗻𝘀𝗵𝗼𝘄𝗲𝗿𝘀 𝘄𝗶𝘁𝗵 𝗹𝗶𝗴𝗵𝘁𝗻𝗶𝗻𝗴 𝗮𝗻𝗱 𝘀𝘁𝗿𝗼𝗻𝗴 𝘄𝗶𝗻𝗱𝘀 are expected over 𝗟𝗮𝗻𝗮𝗼 𝗗𝗲𝗹 𝗡𝗼𝗿𝘁𝗲 (𝗜𝗹𝗶𝗴𝗮𝗻 𝗖𝗶𝘁𝘆) within the next 1-2 hours.

All are advised to take precautionary measures against the impacts associated with these hazards which include flash floods and landslides.

Keep monitoring for updates.",2024-11-10T12:45:02.000Z,,2,6,thunderstorm advisory HASHTAG_minprsd issued pm november Light Moderate rainshowers lightning strong winds expected Lanao Del Norte Iligan City within next hours advised take precautionary measures impacts associated hazards include flash floods landslides keep monitoring updates,2,Thunderstorm Safety Advisory
"𝐈𝐂𝐃𝐑𝐑𝐌𝐎 𝐋𝐎𝐂𝐀𝐋𝐈𝐙𝐄𝐃 𝐖𝐄𝐀𝐓𝐇𝐄𝐑 𝐔𝐏𝐃𝐀𝐓𝐄:
As of 08:34 PM | 03 OCTOBER 2024

Heavy rains are being experienced over Barangay Rogongon, Iligan City.

𝗔𝗹𝗹 𝗿𝗶𝘃𝗲𝗿 𝗰𝗵𝗮𝗻𝗻𝗲𝗹𝘀 𝗮𝗿𝗲 𝗯𝗲𝗶𝗻𝗴 𝗺𝗼𝗻𝗶𝘁𝗼𝗿𝗲𝗱 𝗮𝗻𝗱 𝗮𝗿𝗲 𝗮𝘁 𝗻𝗼𝗿𝗺𝗮𝗹 𝘄𝗮𝘁𝗲𝗿 𝗹𝗲𝘃𝗲𝗹𝘀.

The ICDRRMO will continue to monitor. For emergencies, just call the hotline numbers 225-3215, 221-8459, 0997-726-2692, 0969-233-7878.",2024-10-03T12:46:34.000Z,,5,22,ICDRRMO LOCALIZED WEATHER UPDATE pm october heavy rains experienced barangay rogongon city All river channels monitored normal water levels icdrrmo continue monitor emergencies call hotline numbers,3,PAGASA Weather Advisory
"Day 𝟏𝟒, 𝐌𝐚𝐫𝐜𝐡 𝟏𝟏, 𝟐𝟎𝟐𝟓 the Iligan City Disaster Risk Reduction and Management Office (ICDRRMO) brought 𝗢𝗽𝗲𝗿𝗮𝘁𝗶𝗼𝗻 𝗟𝗶𝘀𝘁𝗼 𝗕𝗮𝗿𝗮𝗻𝗴𝗮𝘆 𝗗𝗥𝗥𝗠 𝗣𝗹𝗮𝗻𝗻𝗶𝗻𝗴 𝗮𝗻𝗱 𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝘁𝘆 𝗙𝗶𝗿𝘀𝘁 𝗔𝗶𝗱 𝗧𝗿𝗮𝗶𝗻𝗶𝗻𝗴 including 𝙃𝙖𝙣𝙙𝙨-𝙊𝙣𝙡𝙮 𝘾𝙋𝙍 to 𝐁𝐚𝐫𝐚𝐧𝐠𝐚𝐲 𝐁𝐚𝐠𝐨𝐧𝐠 𝐒𝐢𝐥𝐚𝐧𝐠. Barangay officials and residents actively participated in learning essential disaster preparedness and emergency response techniques.

This ongoing initiative reflects the commitment of our working mayor, 𝗠𝗮𝘆𝗼𝗿 𝗙𝗿𝗲𝗱𝗲𝗿𝗶𝗰𝗸 𝗪. 𝗦𝗶𝗮𝗼 and 𝗩𝗶𝗰𝗲 𝗠𝗮𝘆𝗼𝗿 𝗠𝗮𝗿𝗶𝗮𝗻𝗶𝘁𝗼 𝗗. 𝗔𝗹𝗲𝗺𝗮𝗻𝗶𝗮 along with the 𝟭𝟴 𝗖𝗼𝘂𝗻𝗰𝗶𝗹 - 𝗦𝗮𝗻𝗴𝗴𝘂𝗻𝗶𝗮𝗻 𝗣𝗮𝗻𝗹𝘂𝗻𝗴𝘀𝗼𝗱 in equipping barangays with life-saving skills, ensuring a more disaster-resilient community. With each training session, Iligan City moves closer to a safer and more prepared future.

#ICDRRMOPROACTIVE
#AsensoIliganon
#OperationListo
#BarangayDRRMPlanning 
#communityfirstaid
#HandsOnlyCPR",2025-03-12T09:11:03.000Z,,1,9,day March city disaster risk reduction management office icdrrmo brought Operation Listo Barangay DRRM Planning Community First Aid Training including HandsOnly CPR Barangay Bagong Silang barangay officials residents actively participated learning essential disaster preparedness emergency response techniques ongoing initiative reflects commitment working mayor Mayor Frederick Siao Vice Mayor Marianito Alemania along Council Sanggunian Panlungsod equipping barangays lifesaving skills ensuring disasterresilient community training session city moves closer safer prepared future HASHTAG_icdrrmoproactive HASHTAG_asensoiliganon HASHTAG_operationlisto HASHTAG_barangaydrrmplanning HASHTAG_communityfirstaid HASHTAG_handsonlycpr,6,DRRM Office Activities
"Rainfall Advisory No. 3 Amendment #MINPRSD

Weather System: Easterlies 

Issued at 07:00 PM 30 March 2025

𝐋𝐢𝐠𝐡𝐭 𝐭𝐨 𝐌𝐨𝐝𝐞𝐫𝐚𝐭𝐞 𝐫𝐚𝐢𝐧𝐬 are expected over 𝐋𝐚𝐧𝐚𝐨 𝐃𝐞𝐥 𝐍𝐨𝐫𝐭𝐞 (Salvador, Lala, Baroy, Magsaysay, Tangcal, Tubod, PantaoRagat, Munai, Pantar, Kolambugan, PoonaPiagapo, Matungao, Maigo, Baloi, Linamon, Kauswagan, Bacolod, Tagoloan, 𝐈𝐋𝐈𝐆𝐀𝐍 𝐂𝐈𝐓𝐘) within the next 2-3 hours. 

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 08:00 PM Today.",2025-03-30T11:15:08.000Z,,0,6,rainfall advisory amendment HASHTAG_minprsd weather system easterlies issued pm march Light Moderate rains expected Lanao Del Norte salvador lala baroy magsaysay tangcal tubod pantaoragat munai pantar kolambugan poonapiagapo matungao maigo baloi linamon kauswagan bacolod tagoloan ILIGAN CITY within next hours public disaster risk reduction management offices concerned advised monitor weather condition watch next warning issued pm today,1,Public Weather Advisory
"As of 8:00 PM today, 11 March 2025, No low pressure areas are being monitored for tropical cyclone formation.

All are advised to monitor updates from DOST-PAGASA",2025-03-11T14:35:27.000Z,,0,5,pm today march low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"As of 8:00 AM today, No Low Pressure Areas are being monitored for tropical cyclone formation.
All are advised to monitor updates from DOST-PAGASA.",2025-01-14T03:58:43.000Z,,0,6,today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
𝐌𝐚𝐫𝐜𝐡 𝟎𝟐, 𝟐𝟎𝟐𝟓 | 𝐒𝐮𝐧𝐝𝐚𝐲
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459 / 225-3215
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#opsandwarning
#AsensoIliganon",2025-03-03T02:14:12.000Z,,0,5,Operations Warning Responses March Sunday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_opsandwarning HASHTAG_asensoiliganon,8,Emergency Hotlines
"As of 10:00 AM today, No Low Pressure Areas are being monitored for tropical cyclone formation.

All are advised to monitor updates from DOST-PAGASA.",2024-11-24T02:24:58.000Z,DOST-PAGASA,0,2,today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"Typhoon ""MARCE""
Dost_pagasa: Storm Surge Warning No. 06
Issued at 08:00 PM, 06 November 2024

A HIGH RISK of storm surge may occur within the next 48-hrs. There is a possibility of LIFE-THREATENING inundation from rising sea water along with high waves in the low lying coastal communities in the areas stated.

ALL concerned LGUs are advised to undertake the following:
1. IMMEDIATE EVACUATION OF COMMUNITIES AT RISK from these areas. 
2. All marine activities must be cancelled.
3. Advise the public to follow the latest Tropical Cyclone Bulletins and Storm Surge Warnings from Dost_pagasa.",2024-11-06T12:34:08.000Z,DILG CODIX,0,3,typhoon marce dost_pagasa storm surge warning issued pm november high risk storm surge occur within next hrs possibility lifethreatening inundation rising sea water along high waves low lying coastal communities areas stated concerned lgus advised undertake following immediate evacuation communities risk areas marine activities must cancelled advise public follow latest tropical cyclone bulletins storm surge warnings dost_pagasa,4,Coastal Wind Warning
"Rainfall Advisory No. 13 -A #MINPRSD
Weather System: Easterlies 
Issued at 06:30 PM 11 January 2025

𝗠𝗼𝗱𝗲𝗿𝗮𝘁𝗲 𝘁𝗼 𝗼𝗰𝗰𝗮𝘀𝗶𝗼𝗻𝗮𝗹𝗹𝘆 𝗵𝗲𝗮𝘃𝘆 𝗿𝗮𝗶𝗻𝘀 affecting 𝗟𝗮𝗻𝗮𝗼 𝗗𝗲𝗹 𝗡𝗼𝗿𝘁𝗲 which 𝗺𝗮𝘆 𝗽𝗲𝗿𝘀𝗶𝘀𝘁 𝘄𝗶𝘁𝗵𝗶𝗻 𝟮-𝟯 𝗵𝗼𝘂𝗿𝘀 and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 08:00 PM Today.

Source: Mindanao Prsd",2025-01-11T10:55:41.000Z,,1,3,rainfall advisory HASHTAG_minprsd weather system easterlies issued pm january Moderate occasionally heavy rains affecting Lanao Del Norte persist within hours affect nearby areas public disaster risk reduction management offices concerned advised monitor weather condition watch next warning issued pm today source mindanao prsd,1,Public Weather Advisory
"THUNDERSTORM WATCH #MINPRSD 
Issued at 10:00 AM, Monday, March 03, 2025

Thunderstorms are MORE LIKELY to develop over #𝐍𝐨𝐫𝐭𝐡𝐞𝐫𝐧𝐌𝐢𝐧𝐝𝐚𝐧𝐚𝐨 within 12 hours. All are advised to keep monitoring for updates.

Source: Mindanao Prsd",2025-03-03T03:49:42.000Z,,2,14,thunderstorm watch HASHTAG_minprsd issued monday march thunderstorms likely develop HASHTAG_NorthernMindanao within hours advised keep monitoring updates source mindanao prsd,9,Weather Advisory
"Paalala bago pa dumating ang bagyo: Listen, Lock, and Leave! Alamin ang ibig sabihin nito mula kay Dingdong Dantes!

I-search ang #PanatagAngMayAlam sa Youtube at Facebook para sa ibang pang tips laban sa sakuna. 

Maging ligtas, maging #PanatagPilipinas",2024-11-26T07:06:18.000Z,Civil Defense PH,0,2,paalala bago dumating bagyo listen lock leave alamin ibig sabihin nito dingdong dantes isearch HASHTAG_panatagangmayalam youtube facebook ibang pang tips laban sakuna maging ligtas maging HASHTAG_panatagpilipinas,7,Weather Disturbance Updates
"𝗛𝗜𝗚𝗛𝗘𝗦𝗧 𝗛𝗘𝗔𝗧 𝗜𝗡𝗗𝗘𝗫 
𝟱-𝗱𝗮𝘆 𝗖𝗼𝗺𝗽𝘂𝘁𝗲𝗱 𝗮𝗻𝗱 𝟮-𝗱𝗮𝘆 𝗙𝗼𝗿𝗲𝗰𝗮𝘀𝘁 
𝗔𝘀 𝗼𝗳 𝟭𝟲 𝗠𝗮𝗿𝗰𝗵 𝟮𝟬𝟮𝟱, 𝟱𝗽𝗺

Source: https://www.pagasa.dost.gov.ph/weather/heat-index",2025-03-16T13:14:31.000Z,,3,2,HIGHEST HEAT INDEX day Computed day Forecast As March pm source,5,General Flood Advisory
"𝐈𝐂𝐃𝐑𝐑𝐌𝐎 𝐖𝐄𝐀𝐓𝐇𝐄𝐑 𝐔𝐏𝐃𝐀𝐓𝐄 #MIN_PRSD
Issued at 5:00 AM 27 January 2025
Valid Until: 5:00 AM Tomorrow

𝐒𝐘𝐍𝐎𝐏𝐒𝐈𝐒: Easterlies affecting Mindanao.

𝐅𝐎𝐑𝐄𝐂𝐀𝐒𝐓: Dinagat Islands, Surigao del Norte, Surigao del Sur, and Davao Oriental will have cloudy skies with scattered rainshowers and thunderstorms due to easterlies. Rest of Mindanao will be partly cloudy to cloudy skies with isolated rainshowers or thunderstorms due to Easterlies. Light to moderate winds from Northeast with slight to moderate seas (0.6 to 2.1 meters).

Source: Mindanao Prsd",2025-01-26T21:46:08.000Z,,2,7,ICDRRMO WEATHER UPDATE HASHTAG_min_prsd issued january valid tomorrow SYNOPSIS easterlies affecting mindanao FORECAST dinagat islands surigao del norte surigao del sur davao oriental cloudy skies scattered rainshowers thunderstorms due easterlies rest mindanao partly cloudy cloudy skies isolated rainshowers thunderstorms due easterlies light moderate winds northeast slight moderate seas meters source mindanao prsd,9,Weather Advisory
"Heavy Rainfall Warning No. 2  #MINPRSD
Weather System: Trough of Tropical Depression (TD) TD Romina
Issued at 08:00 PM 22 December 2024

𝐌𝐨𝐝𝐞𝐫𝐚𝐭𝐞 𝐭𝐨 𝐡𝐞𝐚𝐯𝐲 𝐫𝐚𝐢𝐧𝐬 affecting 𝐋𝐚𝐧𝐚𝐨 𝐃𝐞𝐥 𝐍𝐨𝐫𝐭𝐞 (𝐈𝐥𝐢𝐠𝐚𝐧𝐂𝐢𝐭𝐲, SultanNagaDimaporo, Nunungan, Kolambugan, Maigo) and may affect nearby areas.

The public and the Disaster Risk Reduction and Management Offices concerned are advised to MONITOR the weather condition and watch for the next warning to be issued at 11:00 PM Today.",2024-12-22T12:31:36.000Z,,1,5,heavy rainfall warning HASHTAG_minprsd weather system trough tropical depression td td romina issued pm december Moderate heavy rains affecting Lanao Del Norte IliganCity sultannagadimaporo nunungan kolambugan maigo affect nearby areas public disaster risk reduction management offices concerned advised monitor weather condition watch next warning issued pm today,1,Public Weather Advisory
"Tropical Cyclone Update for Severe Tropical Storm ""KRISTINE"" as of 10:00 AM today #KristinePH. 

Meanwhile, the Low Pressure Area (10d) outside the Philippine Area of Responsibility has a HIGH chance to develop into Tropical Depression within the next 24 hours.

All are advised to monitor updates from DOST-PAGASA.",2024-10-24T03:44:35.000Z,DOST-PAGASA,1,17,tropical cyclone update severe tropical storm kristine today HASHTAG_kristineph meanwhile low pressure area outside philippine area responsibility high chance develop tropical depression within next hours advised monitor updates dostpagasa,7,Weather Disturbance Updates
"As of 10:00 PM today, No Low Pressure Areas are being monitored for tropical cyclone formation.
All are advised to monitor updates from DOST-PAGASA.",2024-11-20T14:36:20.000Z,DOST-PAGASA,0,7,pm today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"Low Pressure Area update as of 10pm.
All are advised to monitor updates from DOST-PAGASA.",2024-10-18T14:17:46.000Z,DOST-PAGASA,0,4,low pressure area update pm advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"𝐈𝐂𝐃𝐑𝐑𝐌𝐎 𝐖𝐄𝐀𝐓𝐇𝐄𝐑 𝐔𝐏𝐃𝐀𝐓𝐄 #MIN_PRSD
Issued at 5:00 AM 26 January 2025
Valid Until: 5:00 AM Tomorrow

𝐒𝐘𝐍𝐎𝐏𝐒𝐈𝐒: Easterlies affecting Mindanao.

𝐅𝐎𝐑𝐄𝐂𝐀𝐒𝐓: CARAGA, Zamboanga Peninsula and BARMM will have cloudy skies with scattered rains and thunderstorms due to Easterlies. Possible flash floods or landslides due to moderate to at times heavy rains. While the rest of Mindanao will be partly cloudy to cloudy skies with isolated rainshowers and thunderstorms due to Easterlies. Light to moderate winds from Northeast with slight to moderate seas (0.6 to 2.1 meters).

Source: Mindanao Prsd",2025-01-25T21:49:34.000Z,,0,6,ICDRRMO WEATHER UPDATE HASHTAG_min_prsd issued january valid tomorrow SYNOPSIS easterlies affecting mindanao FORECAST caraga zamboanga peninsula barmm cloudy skies scattered rains thunderstorms due easterlies possible flash floods landslides due moderate times heavy rains rest mindanao partly cloudy cloudy skies isolated rainshowers thunderstorms due easterlies light moderate winds northeast slight moderate seas meters source mindanao prsd,9,Weather Advisory
"Coconut tree cutting at 𝗚𝗿𝗲𝗲𝗻 𝗙𝗶𝗲𝗹𝗱, 𝗨𝗯𝗮𝗹𝗱𝗼 𝗱𝗲 𝗟𝗮𝘆𝗮, 𝗜𝗹𝗶𝗴𝗮𝗻 𝗖𝗶𝘁𝘆, together with the City Engineer's Office (Electrical Division), on March 14, 2025.

#ICDRRMOPROACTIVE 
#RESCUE811 
#AsensoIliganon 
#ClearingOperation",2025-03-16T11:05:15.000Z,,3,8,coconut tree cutting Green Field Ubaldo de Laya Iligan City together city engineers office electrical division march HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_asensoiliganon HASHTAG_clearingoperation,8,Emergency Hotlines
"𝐄𝐦𝐩𝐨𝐰𝐞𝐫𝐢𝐧𝐠 𝐑𝐞𝐬𝐢𝐥𝐢𝐞𝐧𝐜𝐞: Iligan City Disaster Risk Reduction and Management Office led by Ms. Armien P. Alorro, LDRRMO IV proudly represents Iligan City at the 1st day of 𝟮𝟬𝟮𝟰 𝗛𝗔𝗡𝗗𝗔 𝗣𝗜𝗟𝗜𝗣𝗜𝗡𝗔𝗦: 𝗠𝗶𝗻𝗱𝗮𝗻𝗮𝗼 𝗟𝗲𝗴 𝗶𝗻 𝗚𝗲𝗻𝗲𝗿𝗮𝗹 𝗦𝗮𝗻𝘁𝗼𝘀. With a shared mission to strengthen disaster preparedness and response, the team is ready to bring back valuable insights and strategies to better serve and protect our community.
--------------------------------------------------------------------------------------------
Stay tuned for further updates from ICDRRMO.

𝐅𝐨𝐫 𝐞𝐦𝐞𝐫𝐠𝐞𝐧𝐜𝐲 𝐣𝐮𝐬𝐭 𝐜𝐚𝐥𝐥:
Telephone: (63) 221-8459 / 225-3215
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878

Iligan City Disaster Risk Reduction & Management Office 
Buhanginan Hills, Amphitheater, Brgy. Pala-o, Iligan City
Please Like and Share our page. Thank you!
Dalaygon ang Dios 
#ICDRRMOPROACTIVE
#RESCUE811
#AsensoIliganon
#ecitizenph
#Serbisyongsiao",2024-10-03T01:34:20.000Z,,1,14,Empowering Resilience city disaster risk reduction management office led ms armien alorro ldrrmo iv proudly represents city st day HANDA PILIPINAS Mindanao Leg General Santos shared mission strengthen disaster preparedness response team ready bring back valuable insights strategies better serve protect community stay tuned updates icdrrmo For emergency call telephone tmglobe smart city disaster risk reduction management office buhanginan hills amphitheater brgy palao city please like share page thank dalaygon dios HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_asensoiliganon HASHTAG_ecitizenph HASHTAG_serbisyongsiao,8,Emergency Hotlines
"MINDANAO WEATHER FORECAST #MINPRSD

ISSUED AT: 5:00 PM 29 January 2025
VALID UNTIL: 5:00 PM Tomorrow",2025-01-29T09:12:20.000Z,,0,3,mindanao weather forecast HASHTAG_minprsd issued pm january valid pm tomorrow,9,Weather Advisory
"ILPI SERVICE INTERRUPTION ADVISORY:
Additional Scheduled Power Interruption on March 7, 2025.",2025-03-06T05:24:14.000Z,"Iligan Light & Power, Inc.",6,6,ilpi service interruption advisory additional scheduled power interruption march,3,PAGASA Weather Advisory
"As of 8:00 PM today, No Low Pressure Areas are being monitored for tropical cyclone formation.

All are advised to monitor updates from DOST-PAGASA",2025-01-06T15:03:47.000Z,DOST-PAGASA,0,4,pm today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"As of 8:00 PM today, No Low Pressure Areas are being monitored for tropical cyclone formation.
All are advised to monitor updates from DOST-PAGASA.",2024-12-31T14:21:17.000Z,DOST-PAGASA,0,5,pm today low pressure areas monitored tropical cyclone formation advised monitor updates dostpagasa,3,PAGASA Weather Advisory
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
𝐍𝐨𝐯𝐞𝐦𝐛𝐞𝐫 𝟐𝟓, 𝟐𝟎𝟐𝟒   /   𝐌𝐨𝐧𝐝𝐚𝐲
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459 / 225-3215
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#AsensoIliganon",2024-11-26T00:29:02.000Z,,0,2,Operations Warning Responses November Monday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_asensoiliganon,8,Emergency Hotlines
"𝐈𝐂𝐃𝐑𝐑𝐌𝐎 𝐖𝐄𝐀𝐓𝐇𝐄𝐑 𝐔𝐏𝐃𝐀𝐓𝐄
ISSUED AT: 5:00 AM 15 February 2025
VALID UNTIL: 5:00 AM Tomorrow

𝐒𝐘𝐍𝐎𝐏𝐒𝐈𝐒: Intertropical Convergence Zone (ITCZ) affecting Mindanao.

𝐅𝐎𝐑𝐄𝐂𝐀𝐒𝐓:
Davao Region, Zamboanga Peninsula, Sarangani, and Surigao del Sur will have a cloudy skies with scattered rains and thunderstorms due to ITCZ. Possible flash floods or landslides due to moderate to at times heavy rains. The rest of Mindanao will have partly cloudy to cloudy skies with isolated rainshowers or thunderstorms dues ITCZ. Light to moderate winds from East to Northeast with slight to moderate seas (0.6 to 2.5 meters).

Source: Mindanao Prsd",2025-02-14T22:05:37.000Z,,0,5,ICDRRMO WEATHER UPDATE issued february valid tomorrow SYNOPSIS intertropical convergence zone itcz affecting mindanao FORECAST davao region zamboanga peninsula sarangani surigao del sur cloudy skies scattered rains thunderstorms due itcz possible flash floods landslides due moderate times heavy rains rest mindanao partly cloudy cloudy skies isolated rainshowers thunderstorms dues itcz light moderate winds east northeast slight moderate seas meters source mindanao prsd,9,Weather Advisory
"𝐎𝐩𝐞𝐫𝐚𝐭𝐢𝐨𝐧𝐬 & 𝐖𝐚𝐫𝐧𝐢𝐧𝐠 𝐑𝐞𝐬𝐩𝐨𝐧𝐬𝐞𝐬
𝐅𝐞𝐛𝐫𝐮𝐚𝐫𝐲 𝟐𝟐, 𝟐𝟎𝟐𝟓 | 𝐒𝐚𝐭𝐮𝐫𝐝𝐚𝐲
_____________________________
𝗙𝗼𝗿 𝗲𝗺𝗲𝗿𝗴𝗲𝗻𝗰𝗶𝗲𝘀, 𝗷𝘂𝘀𝘁 𝗰𝗮𝗹𝗹:
Telephone: (63) 221-8459 / 225-3215
TM/Globe: 0997-726-2692 
Smart: 0969-233-7878
#ICDRRMOPROACTIVE
#RESCUE811
#opsandwarning
#AsensoIliganon",2025-02-23T00:09:18.000Z,,1,4,Operations Warning Responses February Saturday _____________________________ For emergencies call telephone tmglobe smart HASHTAG_icdrrmoproactive HASHTAG_rescue HASHTAG_opsandwarning HASHTAG_asensoiliganon,8,Emergency Hotlines
